Feature,Coefficient
age,0.0
sex,0.057911733076503574
cp,0.07799525758010202
trestbps,0.03691594644870273
chol,0.017495894905319057
fbs,-0.02666785158067561
restecg,0.03380903691142358
thalach,-0.03224209961820621
exang,0.06244025830575329
oldpeak,0.04872373081447193
slope,0.040152943709561996
ca,0.11338211548258653
thal,0.12656036850328517
